codi_districte;nom_districte;codi_barri;nom_barri;Barrio turístico en 2023;805_Eco_Individual income;852_Eco_Individual income;582_Eco_Occupation;822_Eco_Occupation;1014_Eco_Occupation;283_Eco_Occupation;43_Eco_Tourism development;279_Eco_;523_Eco_;671_Inf_Education;809_Inf_Education;744_Inf_Education;974_Inf_Education;10_Healthcare;642_Healthcare;257_Healthcare;902_Healthcare;148_Housing;465_Housing;674_Housing;477_Housing;139_Housing;866_Housing;653_Housing;569_Inf_Leisure and cultural activities;198_Inf_Leisure and cultural activities;479_Inf_Noise;1041_Inf_Security and safety;30_Inf_Water consumption;989_Mob_;361_Mob_;515_Mob_;9_Soc_Cultural diversity and identity;329_Soc_Cultural diversity and identity;670_Soc_Cultural diversity and identity;123_Soc_Demographics;589_Soc_Density of social relations;331_Soc_Equality and diversity;799_Soc_Public participation and trust in institutions;565_Soc_Social participation;348_Urb_Population density;265_Urb_;534_Urb_;877_Urb_Air quality;484_Urb_Nature-based assets;633_Urb_Nature-based assets;Satisfacción_Barrio
6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;No;24454,58;8,1;66,8;4;446,2;55,39;223;3,81;1336;78,65;9,2;0;9,8;85,29;2;23;2,3;60,71;61,9;16,69;72,36;2,27;4041,32;92,18;0;0,38;68,59;6,65;104,11;16,88;467,6;2194;21,01;51,3;27,34;44,63;14,54;8,13;8,49;93;918,23;1597;66,15;10140;0;0;8,05
7;Horta-Guinardó;33;el Baix Guinardó;No;21444,14;10,4;67,2;5,2;339,46;55,56;81;2,44;624;75,91;11,8;181899;11,4;84,43;1;14;2,8;58,06;63,19;15,48;69,94;2,37;3449,03;95,67;0;0,38;64,47;5,78;101,37;22,22;449,05;1553;18,93;49,21;26,86;46,1;13,57;9,73;9,53;35;1090,38;1062;54,56;6853;1,44;0,94;7,6
7;Horta-Guinardó;34;Can Baró;No;20031,73;11,2;66,6;8,2;130,28;54,02;20;1,43;133;71,22;13,1;0;14,6;83,95;0;6;2,6;56,4;65,18;14,97;62,4;2,37;2734,36;71,95;0;0,2;58,63;5,73;98,63;50;529,88;517;20,11;44,12;26,12;44,16;13,42;9,32;9,86;26;651,75;892;41,89;2976;0,01;0,21;7,79
7;Horta-Guinardó;35;el Guinardó;No;20816,2;11,6;67,7;7;572,44;56,14;74;2,64;978;74,47;12;0;13,3;84,99;3;25;3,6;54,66;61,45;14,95;67,22;2,39;3141,92;92,75;320134;0,32;60,32;5,91;98,63;20,88;463,1;2434;18,9;49,45;27,92;44,73;13,28;9,07;9,73;76;717,79;2704;56,63;10465;2,27;1,59;7,53
7;Horta-Guinardó;36;la Font d'en Fargues;No;24686,4;4,9;70;5,1;176,57;54,6;4;0,94;90;73,82;11,7;0;10,3;84,83;0;6;4,1;53,66;74,92;15,5;68,93;2,51;3081,14;96,08;0;0,11;63,06;5,21;104,11;31,71;614,48;989;9,52;65,85;13,85;47,56;10,68;9,35;8,75;29;244,97;1345;69,75;3634;1,15;0,48;7,98
7;Horta-Guinardó;37;el Carmel;No;15484,64;15,4;64,1;13,8;590,79;54,59;32;2,08;669;63,4;20;95522;25,2;84,5;2;19;5,8;53,95;64,41;13,5;59,45;2,49;2238,1;93,94;0;0,23;58,14;4,89;93,15;15,83;461;1656;20,52;14,17;29,02;44,86;11,44;12,18;12,69;55;830,56;2280;49,37;8524;0;14,54;7,28
7;Horta-Guinardó;38;la Teixonera;No;17011,58;13,5;64,7;10,5;210,91;53,31;5;1,43;170;66,23;17,2;0;19,9;84,59;0;8;6,2;48,65;64,82;14,62;60,62;2,44;2420,19;97,9;0;0,2;71,63;5,92;95,89;13,11;495,99;749;19,39;9,84;28,49;44,79;11,75;11,3;11,52;25;712,66;1084;55,55;3553;0;0,43;7,7
7;Horta-Guinardó;39;Sant Genís dels Agudells;No;17734,57;13,3;65,3;10;127,07;52,97;3;1,38;100;67,56;17,8;0;18,4;83,43;0;6;5,5;52,87;53,6;12,02;69,51;2,53;2112,85;94,82;0;0,19;75,68;6;95,89;38,89;472,99;529;20,56;30,56;30,63;45;11,9;11,45;11,63;20;436,98;396;17,46;2063;0;0,09;7,89
7;Horta-Guinardó;40;Montbau;No;19685,87;11,7;65,8;6;87,72;52,97;0;2,11;106;71,92;16,8;54972;14,5;78,92;4;6;5,3;57,99;67,19;13,77;67,35;2,43;2455,47;94,5;0;0,29;65,79;5,32;93,15;40;466,37;528;18,34;28;25,53;47,52;13,66;13,43;12,34;29;448,6;182;22,77;1430;2,46;0,3;8,04
7;Horta-Guinardó;41;la Vall d'Hebron;No;22438,93;7;69,2;4,3;102,69;52,97;1;1,86;109;72,56;13,4;0;13,6;83,55;0;2;3,9;44,41;71,87;14,95;65,88;2,46;3404,3;96,49;0;0,2;89,17;5,83;98,63;20,69;510,73;681;11,24;34,48;17,98;50,42;11,73;11,82;8,41;21;823,89;122;41,66;1859;0,02;0,66;8,31
7;Horta-Guinardó;42;la Clota;No;20121,82;10,2;69,4;9,2;11,75;53,13;0;1,94;13;65,81;14;0;25,2;86,46;0;0;8,1;64,07;39,78;15,46;60,38;2,5;3454,73;0;0;0,14;91,16;4,67;95,89;66,67;592,27;114;14,59;66,67;20,46;41,43;12,3;7,73;11,19;11;114,43;188;39,55;258;0;0;8,67
7;Horta-Guinardó;43;Horta;No;20331,13;8,6;63,9;8,3;544,77;55,68;6;2,95;821;68,71;16,8;110876;21;84,78;4;19;4,2;57,16;66,67;13,92;66,36;2,44;2920,8;95,19;0;0,36;62,51;6,08;98,63;10,62;443,82;1570;19,8;46,02;25,59;45,61;11,27;9,92;9,92;84;443,91;2529;30,29;7864;7,79;2,19;8,37
8;Nou Barris;44;Vilapicina i la Torre Llobeta;No;19317,04;12,8;66,5;8,9;501,91;56,62;17;3,34;857;70,09;15,4;140021;17;85,11;3;16;3,4;56,39;67,4;13,69;68,81;2,44;2969,36;94,77;0;0,44;66,19;5,6;95,89;8,82;424,78;1289;17,29;25;26,63;47,22;12,57;10,69;10,23;33;883,11;1312;58,32;6625;0,01;0,29;7,62
8;Nou Barris;45;Porta;No;17197,09;14,8;58,3;12,2;542,33;57,43;12;2,81;771;65,6;20,2;0;30,3;84,88;0;16;2,2;51,63;65,67;13,51;63,68;2,4;2564,41;88,58;0;0,36;69,39;5,25;95,89;6,25;348,78;1417;27,29;28,13;36,17;44,54;11,11;9,97;11,06;51;778,6;993;50,24;5811;1,58;1,16;7,61
8;Nou Barris;46;el Turó de la Peira;No;14307,96;22,5;60,8;16,8;318,51;56,21;1;2,51;402;63,16;20;0;28,2;84,13;1;7;3,1;56,77;59,6;12,56;62,19;2,56;2488,58;84,75;0;0,32;63,54;5,28;93,15;7,5;348,2;643;25,08;15;38,91;42,66;12,02;10,94;13,11;41;1216,99;438;47,98;3298;9,37;2,37;7,2
8;Nou Barris;47;Can Peguera;No;13530,12;8,7;52,5;18,6;46,49;56,82;0;0,82;18;55,16;18,8;0;34,7;83,31;0;2;7,5;70,4;36,79;0;52;2,3;2832,33;77;0;0,05;82,72;4,5;93,15;16,67;451,61;353;9,17;33,33;16,68;46,8;16,22;20,83;15,54;3;363,11;649;57,65;496;0,59;0,46;5,83
8;Nou Barris;48;la Guineueta;No;19462,61;8,3;66,9;9;371,86;58,14;1;2,15;323;66,45;17,9;188886;18,4;85,34;1;9;3,4;52,57;72,07;12,19;69,08;2,46;2421,75;90,13;0;0,33;77,48;5,19;95,89;6,25;460,33;789;11,96;27,08;18,5;49,01;11,88;14,19;9,21;23;693,95;249;51,12;4208;7,42;2,93;7,71
8;Nou Barris;49;Canyelles;No;18156,17;5,4;65,8;14,3;167,52;58,14;1;1,75;119;61,24;19,7;13682;25;83,88;0;4;1,9;50,28;83,01;10,76;78,51;2,4;2234,19;100;0;0,28;78,22;6,13;95,89;7,89;541,85;308;7,87;13,16;12,48;51,24;11,35;16,18;9,65;16;619,36;100;32,15;2086;3,93;4,64;8,66
8;Nou Barris;50;les Roquetes;No;13188,25;21,6;58,4;22;399,06;58,14;2;1,91;309;57,11;21,9;58125;38,2;84,17;1;8;4,7;52,95;65,25;13,61;56,54;2,7;1959,32;91,51;0;0,27;64,89;5,57;93,15;15,12;417,06;376;25,89;15,12;35,92;41,38;9,41;13,45;14,55;23;910,05;1292;37,48;3398;3,19;0,3;7,22
8;Nou Barris;51;Verdun;No;14306,51;20,4;60,4;17,2;310,1;58,14;3;3,22;404;61,29;21,6;0;32;84,26;1;8;5,3;52,73;63,73;14,53;53,76;2,46;2185;94,57;0;0,38;63,79;5,42;93,15;10;387,74;643;24,17;10;34,95;44,03;13;13,28;12,93;38;905,99;865;63,54;2663;0;0;7,18
8;Nou Barris;52;la Prosperitat;No;15984,53;15,6;64,3;14,3;521,51;57,43;3;2,85;751;62,15;21,1;0;27;84,95;1;14;2,7;53,4;68,92;13,95;58,29;2,47;2441,06;89,31;0;0,45;65,72;5,16;93,15;23,53;418,69;1267;18,72;9,41;27,71;46,34;12,14;12,38;11,12;43;991,44;1543;54,94;6232;0;0,37;7,33
8;Nou Barris;53;la Trinitat Nova;No;12740,58;21,5;56,3;21,7;235,96;57,69;0;1,13;84;58,55;19,4;0;41,8;79,79;1;4;5,4;54,4;65,9;13,52;53,47;2,58;2210,73;99,52;0;0,17;84,69;5,59;93,15;12,2;396,9;460;24,23;12,2;34,8;43;11,96;13,76;16,04;20;605,4;250;43,4;1538;0,59;0,39;7,05
8;Nou Barris;54;Torre Baró;No;12271,77;17,2;53;22,5;95,66;57,64;0;0,86;25;50,87;18;50454;41,1;80,63;2;0;8,4;46,2;53,25;7,71;66,2;2,93;1124,6;89,56;0;0,1;71,98;5,11;98,63;15,79;527,05;36;20,55;0;30,49;40,7;8;15,81;16,04;12;137,88;983;17,15;682;1,8;0;7,16
8;Nou Barris;55;Ciutat Meridiana;No;10928,6;30,7;52,9;25,6;355,32;57,64;0;1,3;140;51,26;24,3;0;44,3;85,07;0;5;5,3;54,56;63,86;10,39;59,13;2,93;1930,27;99,65;0;0,16;73,3;5,11;93,15;26,39;358,66;245;31,08;5,56;45,02;40,05;8,08;13,62;15,99;22;738,54;123;57,19;1810;0;0,17;7
8;Nou Barris;56;Vallbona;No;12636,95;13,6;54,4;24;46,73;57,63;0;1,55;22;51,58;19,3;0;48,2;77,94;0;1;9,8;43,35;68,52;0;62;2,88;1115,17;100;0;0,21;82,38;8;98,63;55,56;548,21;30;17,59;11,11;27,3;43,86;9,64;16,14;15,04;9;206,03;386;47,51;344;0,07;0,15;8
9;Sant Andreu;57;la Trinitat Vella;No;12345,54;28,8;56,5;21,6;340,51;57,64;5;1,79;185;54,86;21,2;37322;40;86,85;1;7;5,4;49,2;63,48;12,53;60,68;2,9;1815,32;92,95;0;0,26;81,91;4,9;95,89;23,81;405,79;274;29,75;12,7;41,96;40,27;8,71;12,03;14,98;44;827,8;902;35,81;2098;9,01;1,25;6,65
9;Sant Andreu;58;Baró de Viver;No;12520,03;14,3;53,3;20;46,53;59,49;0;1,5;39;52,56;20,8;0;45,3;81,42;0;2;6,6;28,19;64,35;9,23;77,3;2,61;1710,75;89,21;0;0,35;91,77;5,27;93,15;31,25;433,77;86;15,14;6,25;23,63;42,89;11,66;18,42;15,1;20;680,26;45;38,27;572;0;3,3;6,19
9;Sant Andreu;59;el Bon Pastor;No;15840,79;13;56,1;14,8;242,12;59,49;1;5,74;778;61,11;20,1;56381;37,8;82,2;1;10;4,1;44,03;67,78;10,9;72,92;2,7;2180,41;89;0;0,71;71,11;5,67;93,15;14,67;585,01;533;26,34;14,67;33,51;41,88;7,7;10,58;12,07;40;771,35;1408;62,15;5188;0;0,18;7,85
